message_id,campaign_id,client_id,channel,sent_at,status
44,1,2197,push,2025-03-01 16:00:00,delivered
45,1,2757,push,2025-03-02 12:00:00,delivered
46,1,585,push,2025-03-02 16:00:00,delivered
47,1,1807,push,2025-03-02 16:00:00,delivered
48,1,1775,push,2025-03-02 09:00:00,delivered
49,1,494,push,2025-03-02 08:00:00,delivered
50,1,210,push,2025-03-02 11:00:00,delivered
51,1,2335,push,2025-03-01 09:00:00,delivered
52,1,2899,push,2025-03-02 11:00:00,delivered
53,1,634,push,2025-03-01 19:00:00,delivered
54,1,573,push,2025-03-01 14:00:00,delivered
55,1,2837,push,2025-03-02 13:00:00,delivered
56,1,2079,push,2025-03-02 18:00:00,delivered
57,1,1756,push,2025-03-01 15:00:00,delivered
58,1,2773,push,2025-03-02 18:00:00,delivered
59,1,1754,push,2025-03-01 15:00:00,delivered
60,1,497,push,2025-03-02 16:00:00,delivered
61,1,1080,push,2025-03-02 14:00:00,delivered
62,1,163,push,2025-03-01 08:00:00,delivered
63,1,559,push,2025-03-02 15:00:00,delivered
64,1,1404,push,2025-03-01 11:00:00,delivered
65,1,1492,push,2025-03-02 09:00:00,delivered
66,1,1300,push,2025-03-02 17:00:00,delivered
67,1,71,push,2025-03-01 10:00:00,delivered
68,1,2810,push,2025-03-01 10:00:00,delivered
69,1,1611,push,2025-03-01 11:00:00,delivered
70,1,2832,push,2025-03-02 17:00:00,delivered
71,1,2675,push,2025-03-01 10:00:00,delivered
72,1,1462,push,2025-03-02 19:00:00,bounced
73,1,320,push,2025-03-02 15:00:00,delivered
74,1,2159,push,2025-03-02 13:00:00,delivered
75,1,1669,push,2025-03-02 19:00:00,delivered
76,1,2859,push,2025-03-02 17:00:00,delivered
77,1,1120,push,2025-03-02 13:00:00,delivered
78,1,2838,push,2025-03-01 16:00:00,delivered
79,1,2443,push,2025-03-01 16:00:00,bounced
80,1,1176,push,2025-03-01 11:00:00,delivered
81,1,308,push,2025-03-01 17:00:00,delivered
82,1,2760,push,2025-03-02 11:00:00,delivered
83,1,91,push,2025-03-02 19:00:00,delivered
84,1,1543,push,2025-03-01 16:00:00,delivered
85,1,503,push,2025-03-02 16:00:00,delivered
86,1,2236,push,2025-03-02 18:00:00,delivered
87,1,1837,push,2025-03-01 17:00:00,delivered
88,1,1321,push,2025-03-02 17:00:00,delivered
89,1,2393,push,2025-03-01 14:00:00,delivered
90,1,632,push,2025-03-02 12:00:00,delivered
91,1,1081,push,2025-03-01 11:00:00,delivered
92,1,2186,push,2025-03-01 13:00:00,delivered
93,1,79,push,2025-03-02 11:00:00,delivered
94,1,2646,push,2025-03-01 19:00:00,delivered
95,1,852,push,2025-03-02 09:00:00,delivered
96,1,2166,push,2025-03-02 10:00:00,delivered
97,1,2797,push,2025-03-01 16:00:00,delivered
98,1,1077,push,2025-03-02 14:00:00,delivered
99,1,474,push,2025-03-01 10:00:00,delivered
100,1,2425,push,2025-03-02 08:00:00,delivered
101,1,2148,push,2025-03-02 14:00:00,delivered
102,1,1906,push,2025-03-02 08:00:00,delivered
103,1,2353,push,2025-03-01 18:00:00,delivered
104,1,1214,push,2025-03-01 08:00:00,delivered
105,1,234,push,2025-03-02 08:00:00,bounced
106,1,2531,push,2025-03-02 10:00:00,delivered
107,1,1560,push,2025-03-02 19:00:00,delivered
108,1,2788,push,2025-03-02 15:00:00,delivered
109,1,748,push,2025-03-02 09:00:00,delivered
110,1,2374,push,2025-03-02 15:00:00,delivered
111,1,1377,push,2025-03-02 12:00:00,delivered
112,1,115,push,2025-03-02 08:00:00,delivered
113,1,844,push,2025-03-01 11:00:00,delivered
114,1,2963,push,2025-03-02 14:00:00,delivered
115,1,2550,push,2025-03-02 11:00:00,delivered
116,1,927,push,2025-03-02 15:00:00,delivered
117,1,932,push,2025-03-02 09:00:00,bounced
118,1,804,push,2025-03-01 13:00:00,delivered
119,1,1764,push,2025-03-02 19:00:00,delivered
120,1,1584,push,2025-03-02 10:00:00,delivered
121,1,921,push,2025-03-02 13:00:00,delivered
122,1,267,push,2025-03-01 16:00:00,delivered
123,1,2562,push,2025-03-01 19:00:00,delivered
124,1,2668,push,2025-03-01 09:00:00,delivered
125,1,2030,push,2025-03-01 15:00:00,delivered
126,1,175,push,2025-03-02 10:00:00,delivered
127,1,215,push,2025-03-02 17:00:00,delivered
128,1,669,push,2025-03-01 11:00:00,delivered
129,1,1856,push,2025-03-02 08:00:00,delivered
130,1,620,push,2025-03-01 09:00:00,delivered
131,1,426,push,2025-03-02 12:00:00,delivered
132,1,1286,push,2025-03-02 09:00:00,delivered
133,1,1336,push,2025-03-02 16:00:00,delivered
134,1,240,push,2025-03-01 16:00:00,delivered
135,1,2212,push,2025-03-02 17:00:00,delivered
136,1,2162,push,2025-03-02 08:00:00,delivered
137,1,2582,push,2025-03-02 12:00:00,delivered
138,1,453,push,2025-03-02 11:00:00,delivered
139,1,184,push,2025-03-02 19:00:00,delivered
140,1,1686,push,2025-03-02 12:00:00,delivered
141,1,2854,push,2025-03-02 13:00:00,delivered
142,1,1465,push,2025-03-01 18:00:00,delivered
143,1,562,push,2025-03-02 09:00:00,delivered
144,1,646,push,2025-03-02 18:00:00,delivered
145,1,1940,push,2025-03-02 17:00:00,delivered
146,1,2234,push,2025-03-01 15:00:00,delivered
147,1,229,push,2025-03-01 08:00:00,delivered
148,1,1604,push,2025-03-02 13:00:00,delivered
149,1,537,push,2025-03-02 16:00:00,delivered
150,1,2256,push,2025-03-02 19:00:00,delivered
151,1,35,push,2025-03-02 18:00:00,delivered
152,1,2413,push,2025-03-01 17:00:00,delivered
153,1,2657,push,2025-03-01 19:00:00,delivered
154,1,118,push,2025-03-02 13:00:00,delivered
155,1,1170,push,2025-03-01 18:00:00,delivered
156,1,2986,push,2025-03-02 09:00:00,delivered
157,1,662,push,2025-03-02 18:00:00,delivered
158,1,2889,push,2025-03-01 19:00:00,delivered
159,1,1702,push,2025-03-02 14:00:00,bounced
160,1,2135,push,2025-03-02 17:00:00,delivered
161,1,1191,push,2025-03-02 14:00:00,delivered
162,1,2780,push,2025-03-01 15:00:00,delivered
163,1,2363,push,2025-03-01 17:00:00,delivered
164,1,560,push,2025-03-02 18:00:00,delivered
165,1,2165,push,2025-03-02 13:00:00,delivered
166,1,1718,push,2025-03-02 14:00:00,delivered
167,1,1520,push,2025-03-01 10:00:00,delivered
168,1,2128,push,2025-03-01 14:00:00,delivered
169,1,1471,push,2025-03-01 19:00:00,delivered
170,1,1401,push,2025-03-02 16:00:00,delivered
171,1,2592,push,2025-03-01 10:00:00,delivered
172,1,809,push,2025-03-02 15:00:00,delivered
173,1,2997,push,2025-03-01 09:00:00,delivered
174,1,1921,push,2025-03-02 15:00:00,delivered
175,1,1554,push,2025-03-01 10:00:00,delivered
176,1,20,push,2025-03-01 18:00:00,delivered
177,1,1340,push,2025-03-01 12:00:00,bounced
178,1,903,push,2025-03-02 18:00:00,delivered
179,1,206,push,2025-03-01 19:00:00,delivered
180,1,2568,push,2025-03-01 16:00:00,delivered
181,1,2446,push,2025-03-01 19:00:00,delivered
182,1,820,push,2025-03-02 19:00:00,delivered
183,1,2864,push,2025-03-02 10:00:00,bounced
184,1,180,push,2025-03-01 08:00:00,delivered
185,1,2557,push,2025-03-01 17:00:00,delivered
186,1,1892,push,2025-03-02 09:00:00,bounced
187,1,718,push,2025-03-02 17:00:00,delivered
188,1,1119,push,2025-03-02 18:00:00,delivered
189,1,2645,push,2025-03-01 14:00:00,delivered
190,1,2627,push,2025-03-02 09:00:00,delivered
191,1,2784,push,2025-03-01 15:00:00,delivered
192,1,2790,push,2025-03-01 15:00:00,delivered
193,1,2426,push,2025-03-01 15:00:00,delivered
194,1,1415,push,2025-03-02 14:00:00,delivered
195,1,2620,push,2025-03-01 09:00:00,delivered
196,1,1957,push,2025-03-02 12:00:00,delivered
197,1,1500,push,2025-03-02 15:00:00,delivered
198,1,338,push,2025-03-02 10:00:00,delivered
199,1,571,push,2025-03-01 11:00:00,delivered
200,1,976,push,2025-03-01 10:00:00,delivered
201,1,371,push,2025-03-01 13:00:00,delivered
202,1,2551,push,2025-03-01 19:00:00,delivered
203,1,1274,push,2025-03-02 11:00:00,delivered
204,1,544,push,2025-03-01 11:00:00,delivered
205,1,2545,push,2025-03-01 10:00:00,delivered
206,1,2951,push,2025-03-01 12:00:00,delivered
207,1,2170,push,2025-03-02 08:00:00,bounced
208,1,2665,push,2025-03-02 11:00:00,delivered
209,1,884,push,2025-03-02 10:00:00,bounced
210,1,2,push,2025-03-02 13:00:00,delivered
211,1,2901,push,2025-03-01 14:00:00,delivered
212,1,2472,push,2025-03-02 18:00:00,delivered
213,1,1691,push,2025-03-02 15:00:00,delivered
214,1,84,push,2025-03-02 10:00:00,delivered
215,1,1155,push,2025-03-02 16:00:00,delivered
216,1,2698,push,2025-03-02 17:00:00,delivered
217,1,339,push,2025-03-02 11:00:00,delivered
218,1,2401,push,2025-03-01 10:00:00,delivered
219,1,456,push,2025-03-02 17:00:00,delivered
220,1,2304,push,2025-03-01 08:00:00,delivered
221,1,2467,push,2025-03-01 15:00:00,delivered
222,1,2929,push,2025-03-02 12:00:00,delivered
223,1,2827,push,2025-03-02 11:00:00,delivered
224,1,902,push,2025-03-01 16:00:00,delivered
225,1,2420,push,2025-03-02 15:00:00,delivered
226,1,2634,push,2025-03-02 08:00:00,delivered
227,1,1675,push,2025-03-01 13:00:00,bounced
228,1,1700,push,2025-03-01 18:00:00,delivered
229,1,1210,push,2025-03-02 11:00:00,delivered
230,1,357,push,2025-03-02 19:00:00,delivered
231,1,794,push,2025-03-02 19:00:00,delivered
232,1,2080,push,2025-03-01 17:00:00,delivered
233,1,1954,push,2025-03-01 18:00:00,delivered
234,1,1159,push,2025-03-01 15:00:00,bounced
235,1,1376,push,2025-03-01 12:00:00,delivered
236,1,1579,push,2025-03-02 11:00:00,bounced
237,1,2874,push,2025-03-02 11:00:00,delivered
238,1,511,push,2025-03-02 15:00:00,delivered
239,1,1994,push,2025-03-01 09:00:00,delivered
240,1,2373,push,2025-03-01 08:00:00,delivered
241,1,2616,push,2025-03-01 17:00:00,delivered
242,1,2214,push,2025-03-01 14:00:00,delivered
243,1,297,push,2025-03-01 09:00:00,delivered
244,1,1217,push,2025-03-02 16:00:00,delivered
245,1,583,push,2025-03-02 10:00:00,delivered
246,1,2150,push,2025-03-02 09:00:00,delivered
247,1,1287,push,2025-03-01 16:00:00,delivered
248,1,721,push,2025-03-02 14:00:00,delivered
249,1,198,push,2025-03-01 18:00:00,delivered
250,1,1236,push,2025-03-01 18:00:00,delivered
251,1,87,push,2025-03-02 13:00:00,delivered
252,1,1881,push,2025-03-01 16:00:00,delivered
253,1,1770,push,2025-03-02 18:00:00,delivered
254,1,2144,push,2025-03-01 14:00:00,delivered
255,1,802,push,2025-03-02 18:00:00,delivered
256,1,1642,push,2025-03-02 10:00:00,delivered
257,1,1511,push,2025-03-01 13:00:00,delivered
258,1,1060,push,2025-03-02 17:00:00,delivered
259,1,864,push,2025-03-02 12:00:00,delivered
260,1,2706,push,2025-03-01 11:00:00,delivered
261,1,1281,push,2025-03-02 16:00:00,delivered
262,1,2650,push,2025-03-02 15:00:00,bounced
263,1,2279,push,2025-03-01 09:00:00,delivered
264,1,2906,push,2025-03-01 18:00:00,delivered
265,1,1486,push,2025-03-01 15:00:00,delivered
266,1,1600,push,2025-03-01 18:00:00,delivered
267,1,6,push,2025-03-01 12:00:00,delivered
268,1,1009,push,2025-03-01 10:00:00,delivered
269,1,2397,push,2025-03-02 18:00:00,delivered
270,1,907,push,2025-03-02 16:00:00,delivered
271,1,2846,push,2025-03-02 09:00:00,delivered
272,1,2074,push,2025-03-02 14:00:00,delivered
273,1,301,push,2025-03-01 15:00:00,delivered
274,1,881,push,2025-03-01 09:00:00,delivered
275,1,2803,push,2025-03-02 09:00:00,delivered
276,1,2709,push,2025-03-01 11:00:00,delivered
277,1,2702,push,2025-03-02 12:00:00,delivered
278,1,89,push,2025-03-02 19:00:00,delivered
279,1,1383,push,2025-03-01 14:00:00,delivered
280,1,566,push,2025-03-02 13:00:00,delivered
281,1,2619,push,2025-03-01 11:00:00,delivered
282,1,2934,push,2025-03-01 13:00:00,delivered
283,1,2003,push,2025-03-02 08:00:00,delivered
284,1,2561,push,2025-03-02 09:00:00,delivered
285,1,47,push,2025-03-01 18:00:00,delivered
286,1,1438,push,2025-03-02 16:00:00,delivered
287,1,1834,push,2025-03-01 15:00:00,delivered
288,1,2965,push,2025-03-02 14:00:00,delivered
289,1,1575,push,2025-03-01 18:00:00,delivered
290,1,1054,push,2025-03-02 19:00:00,delivered
291,1,770,push,2025-03-02 08:00:00,delivered
292,1,2524,push,2025-03-01 16:00:00,delivered
293,1,974,push,2025-03-01 08:00:00,delivered
294,1,1952,push,2025-03-02 19:00:00,delivered
295,1,2055,push,2025-03-02 14:00:00,delivered
296,1,985,push,2025-03-02 10:00:00,delivered
297,1,2100,push,2025-03-01 14:00:00,delivered
298,1,1307,push,2025-03-02 18:00:00,delivered
299,1,785,push,2025-03-01 15:00:00,delivered
300,1,1658,push,2025-03-01 16:00:00,delivered
301,1,2389,push,2025-03-01 18:00:00,delivered
302,1,2730,push,2025-03-02 15:00:00,delivered
303,1,541,push,2025-03-01 09:00:00,delivered
304,1,1078,push,2025-03-02 17:00:00,delivered
305,1,1390,push,2025-03-02 17:00:00,delivered
306,1,2529,push,2025-03-02 11:00:00,delivered
307,1,170,push,2025-03-02 19:00:00,delivered
308,1,306,push,2025-03-01 09:00:00,delivered
309,1,1799,push,2025-03-01 19:00:00,delivered
310,1,2275,push,2025-03-02 13:00:00,delivered
311,1,2720,push,2025-03-02 08:00:00,delivered
312,1,2210,push,2025-03-01 17:00:00,delivered
313,1,2782,push,2025-03-01 08:00:00,delivered
314,1,1024,push,2025-03-02 08:00:00,delivered
315,1,1254,push,2025-03-02 08:00:00,delivered
316,1,2871,push,2025-03-02 08:00:00,delivered
317,1,911,push,2025-03-02 16:00:00,delivered
318,1,1965,push,2025-03-02 10:00:00,delivered
319,1,1766,push,2025-03-02 14:00:00,delivered
320,1,1496,push,2025-03-01 12:00:00,bounced
321,1,2659,push,2025-03-01 15:00:00,bounced
322,1,803,push,2025-03-02 12:00:00,delivered
323,1,575,push,2025-03-02 12:00:00,bounced
324,1,278,push,2025-03-01 16:00:00,delivered
325,1,2319,push,2025-03-01 08:00:00,delivered
326,1,2754,push,2025-03-01 09:00:00,delivered
327,1,425,push,2025-03-01 08:00:00,delivered
328,1,1944,push,2025-03-02 19:00:00,delivered
329,1,2715,push,2025-03-02 08:00:00,delivered
330,1,201,push,2025-03-02 13:00:00,delivered
331,1,1164,push,2025-03-02 11:00:00,delivered
332,1,711,push,2025-03-02 09:00:00,delivered
333,1,217,push,2025-03-02 16:00:00,delivered
334,1,801,push,2025-03-02 10:00:00,bounced
335,1,154,push,2025-03-01 14:00:00,delivered
336,1,1071,push,2025-03-01 17:00:00,bounced
337,1,1988,push,2025-03-02 11:00:00,delivered
338,1,1011,push,2025-03-01 18:00:00,delivered
339,1,2365,push,2025-03-02 12:00:00,delivered
340,1,1603,push,2025-03-02 15:00:00,delivered
341,1,2359,push,2025-03-02 10:00:00,delivered
342,1,619,push,2025-03-01 19:00:00,delivered
343,1,1131,push,2025-03-02 08:00:00,delivered
344,1,1185,push,2025-03-01 18:00:00,delivered
345,1,1158,push,2025-03-01 10:00:00,delivered
346,1,2807,push,2025-03-02 11:00:00,delivered
347,1,153,push,2025-03-02 13:00:00,delivered
348,1,1283,push,2025-03-02 10:00:00,delivered
349,1,828,push,2025-03-02 15:00:00,bounced
350,1,2072,push,2025-03-01 08:00:00,delivered
351,1,707,push,2025-03-01 12:00:00,bounced
352,1,1864,push,2025-03-01 17:00:00,delivered
353,1,2341,push,2025-03-02 11:00:00,delivered
354,1,1956,push,2025-03-02 12:00:00,delivered
355,1,1313,push,2025-03-02 17:00:00,delivered
356,1,589,push,2025-03-02 11:00:00,delivered
357,1,1508,push,2025-03-02 17:00:00,delivered
358,1,1917,push,2025-03-02 11:00:00,delivered
359,1,2083,push,2025-03-02 15:00:00,delivered
360,1,2479,push,2025-03-02 17:00:00,delivered
361,1,2383,push,2025-03-02 11:00:00,delivered
362,1,235,push,2025-03-02 10:00:00,delivered
363,1,849,push,2025-03-02 11:00:00,bounced
364,1,591,push,2025-03-02 09:00:00,bounced
365,1,1023,push,2025-03-02 19:00:00,delivered
366,1,2763,push,2025-03-02 11:00:00,delivered
367,1,1551,push,2025-03-02 09:00:00,delivered
368,1,2492,push,2025-03-02 19:00:00,delivered
369,1,325,push,2025-03-02 12:00:00,delivered
370,1,1713,push,2025-03-01 16:00:00,delivered
371,1,878,push,2025-03-01 09:00:00,delivered
372,1,2331,push,2025-03-02 08:00:00,delivered
373,1,1439,push,2025-03-01 11:00:00,delivered
374,1,779,push,2025-03-02 10:00:00,delivered
375,1,1852,push,2025-03-01 18:00:00,delivered
376,1,1194,push,2025-03-01 10:00:00,delivered
377,1,307,push,2025-03-01 10:00:00,delivered
378,1,2036,push,2025-03-01 08:00:00,delivered
379,1,1879,push,2025-03-01 19:00:00,delivered
380,1,1010,push,2025-03-02 08:00:00,delivered
381,1,1533,push,2025-03-02 15:00:00,delivered
382,1,279,push,2025-03-02 10:00:00,delivered
383,1,1722,push,2025-03-02 10:00:00,delivered
384,1,1152,push,2025-03-01 19:00:00,delivered
385,1,2880,push,2025-03-01 08:00:00,delivered
386,1,2477,push,2025-03-01 16:00:00,delivered
387,1,488,push,2025-03-01 13:00:00,delivered
388,1,359,push,2025-03-01 12:00:00,delivered
389,1,2572,push,2025-03-02 18:00:00,delivered
390,1,2630,push,2025-03-01 12:00:00,delivered
391,1,1225,push,2025-03-01 18:00:00,delivered
392,1,326,push,2025-03-01 13:00:00,delivered
393,1,1521,push,2025-03-01 11:00:00,delivered
394,1,2348,push,2025-03-01 09:00:00,delivered
395,1,2069,push,2025-03-01 16:00:00,bounced
396,1,1193,push,2025-03-01 16:00:00,delivered
397,1,2273,push,2025-03-01 18:00:00,delivered
398,1,2031,push,2025-03-02 18:00:00,bounced
399,1,2912,push,2025-03-02 16:00:00,delivered
400,1,376,push,2025-03-01 12:00:00,delivered
401,1,1324,push,2025-03-02 08:00:00,delivered
402,1,780,push,2025-03-01 08:00:00,delivered
403,1,346,push,2025-03-02 13:00:00,delivered
404,1,2512,push,2025-03-02 09:00:00,delivered
405,1,1461,push,2025-03-01 17:00:00,delivered
406,1,750,push,2025-03-02 09:00:00,delivered
407,1,2006,push,2025-03-01 11:00:00,delivered
408,1,1953,push,2025-03-01 11:00:00,delivered
409,1,241,push,2025-03-01 16:00:00,delivered
410,1,2510,push,2025-03-02 19:00:00,delivered
411,1,136,push,2025-03-01 16:00:00,delivered
412,1,956,push,2025-03-01 13:00:00,delivered
413,1,756,push,2025-03-01 08:00:00,bounced
414,1,1577,push,2025-03-02 08:00:00,delivered
415,1,1464,push,2025-03-01 09:00:00,delivered
416,1,2544,push,2025-03-01 08:00:00,delivered
417,1,816,push,2025-03-01 15:00:00,delivered
418,1,159,push,2025-03-01 19:00:00,delivered
419,1,1504,push,2025-03-01 18:00:00,delivered
420,1,1440,push,2025-03-02 11:00:00,delivered
421,1,322,push,2025-03-01 19:00:00,delivered
422,1,76,push,2025-03-01 12:00:00,delivered
423,1,1888,push,2025-03-02 19:00:00,delivered
424,1,137,push,2025-03-02 12:00:00,bounced
425,1,645,push,2025-03-01 11:00:00,delivered
426,1,2974,push,2025-03-02 08:00:00,delivered
427,1,2954,push,2025-03-01 14:00:00,delivered
428,1,496,push,2025-03-02 18:00:00,bounced
429,1,2296,push,2025-03-01 14:00:00,delivered
430,1,1485,push,2025-03-02 13:00:00,delivered
431,1,120,push,2025-03-01 17:00:00,delivered
432,1,242,push,2025-03-02 19:00:00,delivered
433,1,32,push,2025-03-01 10:00:00,bounced
434,1,277,push,2025-03-02 16:00:00,delivered
435,1,1785,push,2025-03-01 13:00:00,delivered
436,1,2328,push,2025-03-02 12:00:00,delivered
437,1,1923,push,2025-03-02 19:00:00,delivered
438,1,1851,push,2025-03-02 13:00:00,delivered
439,1,2559,push,2025-03-01 12:00:00,bounced
440,1,1049,push,2025-03-02 17:00:00,delivered
441,1,512,push,2025-03-02 13:00:00,delivered
442,1,1484,push,2025-03-01 08:00:00,delivered
443,1,1992,push,2025-03-01 10:00:00,delivered
444,1,134,push,2025-03-01 10:00:00,delivered
445,1,1139,push,2025-03-02 08:00:00,delivered
446,1,2435,push,2025-03-01 19:00:00,delivered
447,1,1106,push,2025-03-02 16:00:00,delivered
448,1,2872,push,2025-03-02 11:00:00,delivered
449,1,2644,push,2025-03-02 14:00:00,delivered
450,1,1314,push,2025-03-01 10:00:00,delivered
451,1,1901,push,2025-03-02 16:00:00,delivered
452,1,994,push,2025-03-01 09:00:00,delivered
453,1,2032,push,2025-03-02 12:00:00,delivered
454,1,230,push,2025-03-02 15:00:00,delivered
455,1,491,push,2025-03-02 14:00:00,delivered
456,1,2460,push,2025-03-02 16:00:00,delivered
457,1,982,push,2025-03-01 11:00:00,delivered
458,1,2995,push,2025-03-02 10:00:00,delivered
459,1,1197,push,2025-03-02 15:00:00,delivered
460,1,1147,push,2025-03-01 14:00:00,bounced
461,1,351,push,2025-03-01 10:00:00,delivered
462,1,132,push,2025-03-01 19:00:00,bounced
463,1,252,push,2025-03-01 10:00:00,delivered
464,1,111,push,2025-03-01 16:00:00,delivered
465,1,1701,push,2025-03-01 18:00:00,delivered
466,1,484,push,2025-03-01 10:00:00,delivered
467,1,959,push,2025-03-01 16:00:00,delivered
468,1,2051,push,2025-03-01 10:00:00,delivered
469,1,1203,push,2025-03-02 14:00:00,delivered
470,1,68,push,2025-03-02 17:00:00,delivered
471,1,2735,push,2025-03-02 09:00:00,delivered
472,1,2993,push,2025-03-02 11:00:00,delivered
473,1,1430,push,2025-03-01 16:00:00,delivered
474,1,2127,push,2025-03-01 10:00:00,delivered
475,1,529,push,2025-03-02 16:00:00,delivered
476,1,1697,push,2025-03-01 18:00:00,delivered
477,1,232,push,2025-03-02 14:00:00,delivered
478,1,2649,push,2025-03-02 08:00:00,delivered
479,1,1866,push,2025-03-02 08:00:00,delivered
480,1,1483,push,2025-03-02 11:00:00,bounced
481,1,2798,push,2025-03-01 15:00:00,delivered
482,1,741,push,2025-03-01 12:00:00,delivered
483,1,1429,push,2025-03-02 15:00:00,delivered
484,1,2064,push,2025-03-02 14:00:00,delivered
485,1,2078,push,2025-03-01 12:00:00,delivered
486,1,872,push,2025-03-02 14:00:00,delivered
487,1,2406,push,2025-03-01 16:00:00,delivered
488,1,946,push,2025-03-01 12:00:00,delivered
489,1,687,push,2025-03-02 17:00:00,delivered
490,1,2778,push,2025-03-02 17:00:00,delivered
491,1,2491,push,2025-03-01 18:00:00,delivered
492,1,2284,push,2025-03-02 11:00:00,delivered
493,1,2451,push,2025-03-01 09:00:00,delivered
494,1,1079,push,2025-03-01 14:00:00,delivered
495,1,2106,push,2025-03-01 16:00:00,delivered
496,1,2843,push,2025-03-02 19:00:00,delivered
497,1,549,push,2025-03-02 08:00:00,delivered
498,1,2866,push,2025-03-02 19:00:00,delivered
499,1,2608,push,2025-03-01 19:00:00,delivered
500,1,1156,push,2025-03-01 08:00:00,delivered
501,1,2969,push,2025-03-01 15:00:00,delivered
502,1,65,push,2025-03-01 09:00:00,delivered
503,1,447,push,2025-03-01 19:00:00,delivered
504,1,1926,push,2025-03-01 10:00:00,delivered
505,1,1337,push,2025-03-02 09:00:00,delivered
506,1,2400,push,2025-03-01 19:00:00,bounced
507,1,2308,push,2025-03-01 18:00:00,delivered
508,1,2736,push,2025-03-02 14:00:00,delivered
509,1,269,push,2025-03-02 11:00:00,delivered
510,1,1845,push,2025-03-01 15:00:00,delivered
511,1,1428,push,2025-03-01 16:00:00,delivered
512,1,458,push,2025-03-02 10:00:00,delivered
513,1,2540,push,2025-03-01 17:00:00,delivered
514,1,2147,push,2025-03-02 13:00:00,delivered
515,1,2158,push,2025-03-02 12:00:00,delivered
516,1,596,push,2025-03-02 17:00:00,delivered
517,1,466,push,2025-03-02 10:00:00,delivered
518,1,148,push,2025-03-02 09:00:00,delivered
519,1,1068,push,2025-03-02 10:00:00,delivered
520,1,2687,push,2025-03-01 12:00:00,delivered
521,1,621,push,2025-03-02 13:00:00,delivered
522,1,504,push,2025-03-01 17:00:00,delivered
523,1,783,push,2025-03-01 15:00:00,delivered
524,1,1666,push,2025-03-01 19:00:00,delivered
525,1,1685,push,2025-03-02 15:00:00,delivered
526,1,41,push,2025-03-01 11:00:00,delivered
527,1,1223,push,2025-03-02 11:00:00,delivered
528,1,1931,push,2025-03-01 15:00:00,delivered
529,1,2215,push,2025-03-02 11:00:00,delivered
530,1,1694,push,2025-03-02 16:00:00,delivered
531,1,1621,push,2025-03-01 19:00:00,delivered
532,1,971,push,2025-03-01 10:00:00,delivered
533,1,598,push,2025-03-02 12:00:00,delivered
534,1,913,push,2025-03-02 15:00:00,delivered
535,1,2673,push,2025-03-01 15:00:00,delivered
536,1,2768,push,2025-03-02 12:00:00,delivered
537,1,533,push,2025-03-02 13:00:00,delivered
538,1,459,push,2025-03-01 18:00:00,delivered
539,1,1706,push,2025-03-02 11:00:00,delivered
540,1,1593,push,2025-03-02 11:00:00,delivered
541,1,396,push,2025-03-01 11:00:00,delivered
542,1,200,push,2025-03-02 10:00:00,delivered
543,1,123,push,2025-03-02 12:00:00,delivered
