audience_id,campaign_id,client_id,group_type,assigned_at
330,1,2100,test,2025-03-01
331,1,1307,test,2025-03-01
332,1,785,test,2025-03-01
333,1,1658,test,2025-03-01
334,1,2389,test,2025-03-01
335,1,2730,test,2025-03-01
336,1,541,test,2025-03-01
337,1,1078,test,2025-03-01
338,1,1390,test,2025-03-01
339,1,2529,test,2025-03-01
340,1,170,test,2025-03-01
341,1,306,test,2025-03-01
342,1,1799,test,2025-03-01
343,1,2275,test,2025-03-01
344,1,1220,control,2025-03-01
345,1,2720,test,2025-03-01
346,1,2210,test,2025-03-01
347,1,2782,test,2025-03-01
348,1,1024,test,2025-03-01
349,1,52,control,2025-03-01
350,1,2414,control,2025-03-01
351,1,1254,test,2025-03-01
352,1,2871,test,2025-03-01
353,1,911,test,2025-03-01
354,1,1965,test,2025-03-01
355,1,1766,test,2025-03-01
356,1,1496,test,2025-03-01
357,1,2659,test,2025-03-01
358,1,803,test,2025-03-01
359,1,575,test,2025-03-01
360,1,278,test,2025-03-01
361,1,2319,test,2025-03-01
362,1,2754,test,2025-03-01
363,1,425,test,2025-03-01
364,1,1944,test,2025-03-01
365,1,2715,test,2025-03-01
366,1,201,test,2025-03-01
367,1,1164,test,2025-03-01
368,1,711,test,2025-03-01
369,1,217,test,2025-03-01
370,1,801,test,2025-03-01
371,1,154,test,2025-03-01
372,1,1071,test,2025-03-01
373,1,715,control,2025-03-01
374,1,1988,test,2025-03-01
375,1,817,control,2025-03-01
376,1,1011,test,2025-03-01
377,1,2365,test,2025-03-01
378,1,1603,test,2025-03-01
379,1,2359,test,2025-03-01
380,1,619,test,2025-03-01
381,1,1897,control,2025-03-01
382,1,1131,test,2025-03-01
383,1,1185,test,2025-03-01
384,1,1158,test,2025-03-01
385,1,2807,test,2025-03-01
386,1,153,test,2025-03-01
387,1,1283,test,2025-03-01
388,1,828,test,2025-03-01
389,1,2072,test,2025-03-01
390,1,707,test,2025-03-01
391,1,373,control,2025-03-01
392,1,1864,test,2025-03-01
393,1,2341,test,2025-03-01
394,1,1956,test,2025-03-01
395,1,1313,test,2025-03-01
396,1,589,test,2025-03-01
397,1,1508,test,2025-03-01
398,1,1917,test,2025-03-01
399,1,2083,test,2025-03-01
400,1,2479,test,2025-03-01
401,1,2383,test,2025-03-01
402,1,235,test,2025-03-01
403,1,849,test,2025-03-01
404,1,591,test,2025-03-01
405,1,1023,test,2025-03-01
406,1,2763,test,2025-03-01
407,1,1551,test,2025-03-01
408,1,2492,test,2025-03-01
409,1,325,test,2025-03-01
410,1,1713,test,2025-03-01
411,1,878,test,2025-03-01
412,1,2331,test,2025-03-01
413,1,1439,test,2025-03-01
414,1,779,test,2025-03-01
415,1,1134,control,2025-03-01
416,1,1852,test,2025-03-01
417,1,1194,test,2025-03-01
418,1,307,test,2025-03-01
419,1,2036,test,2025-03-01
420,1,1879,test,2025-03-01
421,1,1010,test,2025-03-01
422,1,1533,test,2025-03-01
423,1,279,test,2025-03-01
424,1,1722,test,2025-03-01
425,1,1152,test,2025-03-01
426,1,2880,test,2025-03-01
427,1,2477,test,2025-03-01
428,1,488,test,2025-03-01
429,1,359,test,2025-03-01
430,1,2572,test,2025-03-01
431,1,1212,control,2025-03-01
432,1,2630,test,2025-03-01
433,1,1225,test,2025-03-01
434,1,1594,control,2025-03-01
435,1,326,test,2025-03-01
436,1,1521,test,2025-03-01
437,1,2348,test,2025-03-01
438,1,2069,test,2025-03-01
439,1,1193,test,2025-03-01
440,1,2273,test,2025-03-01
441,1,2031,test,2025-03-01
442,1,2912,test,2025-03-01
443,1,376,test,2025-03-01
444,1,1324,test,2025-03-01
445,1,780,test,2025-03-01
446,1,346,test,2025-03-01
447,1,2512,test,2025-03-01
448,1,1461,test,2025-03-01
449,1,750,test,2025-03-01
450,1,2006,test,2025-03-01
451,1,1953,test,2025-03-01
452,1,241,test,2025-03-01
453,1,2510,test,2025-03-01
454,1,136,test,2025-03-01
455,1,956,test,2025-03-01
456,1,756,test,2025-03-01
457,1,1577,test,2025-03-01
458,1,1464,test,2025-03-01
459,1,2544,test,2025-03-01
460,1,42,control,2025-03-01
461,1,816,test,2025-03-01
462,1,159,test,2025-03-01
463,1,1504,test,2025-03-01
464,1,616,control,2025-03-01
465,1,1440,test,2025-03-01
466,1,322,test,2025-03-01
467,1,76,test,2025-03-01
468,1,1888,test,2025-03-01
469,1,137,test,2025-03-01
470,1,645,test,2025-03-01
471,1,2974,test,2025-03-01
472,1,2954,test,2025-03-01
473,1,496,test,2025-03-01
474,1,2296,test,2025-03-01
475,1,1485,test,2025-03-01
476,1,120,test,2025-03-01
477,1,242,test,2025-03-01
478,1,32,test,2025-03-01
479,1,277,test,2025-03-01
480,1,1785,test,2025-03-01
481,1,2328,test,2025-03-01
482,1,1923,test,2025-03-01
483,1,1851,test,2025-03-01
484,1,141,control,2025-03-01
485,1,2559,test,2025-03-01
486,1,1049,test,2025-03-01
487,1,512,test,2025-03-01
488,1,1484,test,2025-03-01
489,1,1992,test,2025-03-01
490,1,292,control,2025-03-01
491,1,134,test,2025-03-01
492,1,1139,test,2025-03-01
493,1,1978,control,2025-03-01
494,1,2435,test,2025-03-01
495,1,1106,test,2025-03-01
496,1,2872,test,2025-03-01
497,1,2644,test,2025-03-01
498,1,1314,test,2025-03-01
499,1,1901,test,2025-03-01
500,1,994,test,2025-03-01
501,1,2032,test,2025-03-01
502,1,230,test,2025-03-01
503,1,491,test,2025-03-01
504,1,2460,test,2025-03-01
505,1,982,test,2025-03-01
506,1,2995,test,2025-03-01
507,1,1197,test,2025-03-01
508,1,1147,test,2025-03-01
509,1,351,test,2025-03-01
510,1,132,test,2025-03-01
511,1,2948,control,2025-03-01
512,1,252,test,2025-03-01
513,1,111,test,2025-03-01
514,1,1701,test,2025-03-01
515,1,484,test,2025-03-01
516,1,2887,control,2025-03-01
517,1,959,test,2025-03-01
518,1,2051,test,2025-03-01
519,1,1203,test,2025-03-01
520,1,68,test,2025-03-01
521,1,2735,test,2025-03-01
522,1,2993,test,2025-03-01
523,1,1430,test,2025-03-01
524,1,2127,test,2025-03-01
525,1,529,test,2025-03-01
526,1,1697,test,2025-03-01
527,1,232,test,2025-03-01
528,1,2649,test,2025-03-01
529,1,1866,test,2025-03-01
530,1,1483,test,2025-03-01
531,1,2798,test,2025-03-01
532,1,741,test,2025-03-01
533,1,1429,test,2025-03-01
534,1,2064,test,2025-03-01
535,1,2078,test,2025-03-01
536,1,872,test,2025-03-01
537,1,1619,control,2025-03-01
538,1,2406,test,2025-03-01
539,1,946,test,2025-03-01
540,1,687,test,2025-03-01
541,1,2778,test,2025-03-01
542,1,2491,test,2025-03-01
543,1,2284,test,2025-03-01
544,1,2451,test,2025-03-01
545,1,1079,test,2025-03-01
546,1,2106,test,2025-03-01
547,1,2843,test,2025-03-01
548,1,549,test,2025-03-01
549,1,2866,test,2025-03-01
550,1,2608,test,2025-03-01
551,1,1156,test,2025-03-01
552,1,2969,test,2025-03-01
553,1,65,test,2025-03-01
554,1,447,test,2025-03-01
555,1,1926,test,2025-03-01
556,1,1337,test,2025-03-01
557,1,2400,test,2025-03-01
558,1,2308,test,2025-03-01
559,1,2736,test,2025-03-01
560,1,269,test,2025-03-01
561,1,1845,test,2025-03-01
562,1,1428,test,2025-03-01
563,1,458,test,2025-03-01
564,1,2540,test,2025-03-01
565,1,2147,test,2025-03-01
566,1,2158,test,2025-03-01
567,1,596,test,2025-03-01
568,1,466,test,2025-03-01
569,1,148,test,2025-03-01
570,1,1068,test,2025-03-01
571,1,2687,test,2025-03-01
572,1,621,test,2025-03-01
573,1,504,test,2025-03-01
574,1,783,test,2025-03-01
575,1,1666,test,2025-03-01
576,1,1018,control,2025-03-01
577,1,1685,test,2025-03-01
578,1,652,control,2025-03-01
579,1,41,test,2025-03-01
580,1,1223,test,2025-03-01
581,1,1931,test,2025-03-01
582,1,2215,test,2025-03-01
583,1,1694,test,2025-03-01
584,1,1621,test,2025-03-01
585,1,971,test,2025-03-01
586,1,598,test,2025-03-01
587,1,913,test,2025-03-01
588,1,2673,test,2025-03-01
589,1,2768,test,2025-03-01
590,1,2185,control,2025-03-01
591,1,533,test,2025-03-01
592,1,459,test,2025-03-01
593,1,1706,test,2025-03-01
594,1,1593,test,2025-03-01
595,1,396,test,2025-03-01
596,1,200,test,2025-03-01
597,1,123,test,2025-03-01
598,1,1966,test,2025-03-01
599,1,1148,test,2025-03-01
600,1,365,test,2025-03-01
601,1,1301,test,2025-03-01
602,1,2923,test,2025-03-01
603,1,2537,test,2025-03-01
604,1,2178,test,2025-03-01
605,1,354,control,2025-03-01
606,1,1494,test,2025-03-01
607,1,332,test,2025-03-01
608,1,1858,test,2025-03-01
609,1,1844,test,2025-03-01
610,1,1004,test,2025-03-01
611,1,1096,control,2025-03-01
612,1,1847,test,2025-03-01
613,1,1230,test,2025-03-01
614,1,1298,test,2025-03-01
615,1,1687,test,2025-03-01
616,1,966,test,2025-03-01
617,1,385,test,2025-03-01
618,1,2926,test,2025-03-01
619,1,2958,test,2025-03-01
620,1,1664,test,2025-03-01
621,1,2726,test,2025-03-01
622,1,108,test,2025-03-01
623,1,409,test,2025-03-01
624,1,1118,test,2025-03-01
625,1,740,test,2025-03-01
626,1,2892,test,2025-03-01
627,1,2250,test,2025-03-01
628,1,1990,test,2025-03-01
629,1,2309,test,2025-03-01
630,1,1523,test,2025-03-01
631,1,319,test,2025-03-01
632,1,1662,test,2025-03-01
633,1,772,test,2025-03-01
634,1,2073,test,2025-03-01
635,1,1677,control,2025-03-01
636,1,2164,test,2025-03-01
637,1,1653,test,2025-03-01
638,1,2937,test,2025-03-01
639,1,1219,test,2025-03-01
640,1,1516,test,2025-03-01
641,1,2927,test,2025-03-01
642,1,2546,test,2025-03-01
643,1,666,control,2025-03-01
644,1,622,test,2025-03-01
645,1,33,test,2025-03-01
646,1,2548,test,2025-03-01
647,1,2140,test,2025-03-01
648,1,1719,test,2025-03-01
649,1,500,control,2025-03-01
650,1,2432,test,2025-03-01
651,1,2599,test,2025-03-01
652,1,254,test,2025-03-01
653,1,406,control,2025-03-01
654,1,871,control,2025-03-01
655,1,1751,test,2025-03-01
656,1,1505,test,2025-03-01
657,1,1423,test,2025-03-01
658,1,865,test,2025-03-01
659,1,1326,test,2025-03-01
660,1,352,test,2025-03-01
661,1,2663,test,2025-03-01
662,1,2947,test,2025-03-01
663,1,1704,test,2025-03-01
664,1,950,test,2025-03-01
665,1,2396,test,2025-03-01
666,1,1969,test,2025-03-01
667,1,275,test,2025-03-01
668,1,1289,test,2025-03-01
669,1,471,test,2025-03-01
670,1,1553,test,2025-03-01
671,1,2910,test,2025-03-01
672,1,2885,test,2025-03-01
673,1,1737,test,2025-03-01
674,1,238,test,2025-03-01
675,1,1419,test,2025-03-01
676,1,412,test,2025-03-01
677,1,714,test,2025-03-01
678,1,1517,test,2025-03-01
679,1,2390,test,2025-03-01
680,1,1032,test,2025-03-01
681,1,2485,test,2025-03-01
682,1,1036,test,2025-03-01
683,1,1925,control,2025-03-01
684,1,2384,test,2025-03-01
685,1,1546,test,2025-03-01
686,1,2621,test,2025-03-01
687,1,1967,test,2025-03-01
688,1,1665,test,2025-03-01
689,1,713,test,2025-03-01
690,1,1887,control,2025-03-01
691,1,2740,test,2025-03-01
692,1,2669,test,2025-03-01
693,1,299,test,2025-03-01
694,1,2802,test,2025-03-01
695,1,2683,test,2025-03-01
696,1,90,test,2025-03-01
697,1,1639,test,2025-03-01
698,1,2694,test,2025-03-01
699,1,61,control,2025-03-01
700,1,1145,control,2025-03-01
701,1,2907,test,2025-03-01
702,1,1812,test,2025-03-01
703,1,125,test,2025-03-01
704,1,2057,test,2025-03-01
705,1,1617,test,2025-03-01
706,1,304,test,2025-03-01
707,1,1477,test,2025-03-01
708,1,2422,test,2025-03-01
709,1,2354,test,2025-03-01
710,1,760,test,2025-03-01
711,1,1622,test,2025-03-01
712,1,1746,test,2025-03-01
713,1,586,test,2025-03-01
714,1,631,test,2025-03-01
715,1,1733,test,2025-03-01
716,1,1818,test,2025-03-01
717,1,224,test,2025-03-01
718,1,1515,test,2025-03-01
719,1,2111,test,2025-03-01
720,1,2689,test,2025-03-01
721,1,2387,test,2025-03-01
722,1,2366,test,2025-03-01
723,1,394,test,2025-03-01
724,1,70,test,2025-03-01
725,1,513,control,2025-03-01
726,1,2570,test,2025-03-01
727,1,2493,test,2025-03-01
728,1,2415,test,2025-03-01
729,1,1774,test,2025-03-01
730,1,642,test,2025-03-01
731,1,2535,test,2025-03-01
732,1,2133,control,2025-03-01
733,1,119,test,2025-03-01
734,1,2392,test,2025-03-01
735,1,67,test,2025-03-01
736,1,1867,test,2025-03-01
737,1,475,test,2025-03-01
738,1,2440,control,2025-03-01
739,1,918,test,2025-03-01
740,1,2964,test,2025-03-01
741,1,2326,test,2025-03-01
742,1,1761,test,2025-03-01
743,1,2902,test,2025-03-01
744,1,160,test,2025-03-01
745,1,1111,test,2025-03-01
746,1,2439,test,2025-03-01
747,1,2658,control,2025-03-01
748,1,2882,test,2025-03-01
749,1,2959,test,2025-03-01
750,1,1928,test,2025-03-01
751,1,2050,test,2025-03-01
752,1,2013,test,2025-03-01
753,1,2623,control,2025-03-01
754,1,2298,test,2025-03-01
755,1,236,test,2025-03-01
756,1,1776,control,2025-03-01
757,1,1598,test,2025-03-01
758,1,49,test,2025-03-01
759,1,2992,test,2025-03-01
760,1,2431,test,2025-03-01
761,1,15,test,2025-03-01
762,1,1157,control,2025-03-01
763,1,1399,test,2025-03-01
764,1,225,control,2025-03-01
765,1,2305,test,2025-03-01
766,1,372,test,2025-03-01
767,1,2933,test,2025-03-01
768,1,709,test,2025-03-01
769,1,400,test,2025-03-01
770,1,2714,test,2025-03-01
771,1,717,test,2025-03-01
772,1,1947,test,2025-03-01
773,1,1509,test,2025-03-01
774,1,2022,test,2025-03-01
775,1,294,test,2025-03-01
776,1,1843,test,2025-03-01
777,1,461,test,2025-03-01
778,1,1989,test,2025-03-01
779,1,1860,test,2025-03-01
780,1,545,test,2025-03-01
781,1,1943,test,2025-03-01
782,1,1333,test,2025-03-01
783,1,1450,control,2025-03-01
784,1,2121,test,2025-03-01
785,1,1534,test,2025-03-01
786,1,1186,test,2025-03-01
787,1,477,test,2025-03-01
788,1,744,control,2025-03-01
789,1,928,test,2025-03-01
790,1,2065,test,2025-03-01
791,1,926,control,2025-03-01
792,1,1133,test,2025-03-01
793,1,660,test,2025-03-01
794,1,2206,test,2025-03-01
795,1,890,test,2025-03-01
796,1,638,test,2025-03-01
797,1,2639,control,2025-03-01
798,1,1361,test,2025-03-01
799,1,1805,control,2025-03-01
800,1,2232,test,2025-03-01
801,1,2278,test,2025-03-01
802,1,1488,control,2025-03-01
803,1,1786,test,2025-03-01
804,1,1386,test,2025-03-01
805,1,1344,test,2025-03-01
806,1,257,test,2025-03-01
807,1,521,test,2025-03-01
808,1,1031,test,2025-03-01
809,1,164,test,2025-03-01
810,1,969,test,2025-03-01
811,1,1072,test,2025-03-01
812,1,2005,control,2025-03-01
813,1,617,test,2025-03-01
814,1,309,test,2025-03-01
815,1,2076,control,2025-03-01
816,1,410,test,2025-03-01
817,1,2528,test,2025-03-01
818,1,2486,test,2025-03-01
819,1,1495,test,2025-03-01
820,1,296,test,2025-03-01
821,1,249,control,2025-03-01
822,1,165,test,2025-03-01
823,1,547,control,2025-03-01
824,1,1853,test,2025-03-01
825,1,386,test,2025-03-01
826,1,733,test,2025-03-01
827,1,345,test,2025-03-01
828,1,2001,test,2025-03-01
829,1,408,test,2025-03-01
830,1,1144,control,2025-03-01
831,1,763,test,2025-03-01
832,1,1650,test,2025-03-01
833,1,1246,test,2025-03-01
834,1,2783,test,2025-03-01
835,1,501,test,2025-03-01
836,1,1660,test,2025-03-01
837,1,937,test,2025-03-01
838,1,75,test,2025-03-01
839,1,614,test,2025-03-01
840,1,998,test,2025-03-01
841,1,1524,test,2025-03-01
842,1,981,test,2025-03-01
843,1,1227,test,2025-03-01
844,1,2596,test,2025-03-01
845,1,1548,test,2025-03-01
846,1,1222,test,2025-03-01
847,1,1396,test,2025-03-01
848,1,1715,test,2025-03-01
849,1,1874,test,2025-03-01
850,1,919,test,2025-03-01
851,1,977,test,2025-03-01
852,1,685,test,2025-03-01
853,1,1769,test,2025-03-01
854,1,2033,test,2025-03-01
855,1,1703,test,2025-03-01
856,1,1932,test,2025-03-01
857,1,1421,control,2025-03-01
858,1,216,test,2025-03-01
859,1,1643,test,2025-03-01
860,1,943,test,2025-03-01
861,1,1327,test,2025-03-01
862,1,2270,test,2025-03-01
863,1,2525,test,2025-03-01
864,1,2538,test,2025-03-01
865,1,778,control,2025-03-01
866,1,1946,test,2025-03-01
867,1,835,control,2025-03-01
868,1,2928,test,2025-03-01
869,1,829,test,2025-03-01
870,1,1549,test,2025-03-01
871,1,2507,test,2025-03-01
872,1,1115,test,2025-03-01
873,1,1709,test,2025-03-01
874,1,1374,test,2025-03-01
875,1,1045,control,2025-03-01
876,1,1690,test,2025-03-01
877,1,1113,test,2025-03-01
878,1,543,test,2025-03-01
879,1,2856,test,2025-03-01
880,1,1918,test,2025-03-01
881,1,2193,test,2025-03-01
882,1,860,test,2025-03-01
883,1,397,test,2025-03-01
884,1,2438,test,2025-03-01
885,1,1182,test,2025-03-01
886,1,1562,test,2025-03-01
887,1,1240,test,2025-03-01
888,1,103,test,2025-03-01
889,1,1652,test,2025-03-01
890,1,1752,test,2025-03-01
