client_id,gender,age,city,segment,registration_date,is_active,last_activity_at
69,F,20,Санкт-Петербург,mass,2023-07-10,True,2025-02-04
70,M,27,Екатеринбург,salary,2024-04-10,True,2025-04-01
71,M,51,Казань,mass,2024-01-22,True,2024-11-11
72,F,42,Сочи,inactive,2021-06-19,False,2024-06-04
73,F,52,Москва,mass,2024-12-06,True,2025-03-07
74,M,26,Москва,young,2022-01-10,True,2024-11-23
75,M,19,Санкт-Петербург,salary,2022-02-19,True,2024-12-04
76,M,41,Казань,salary,2024-07-18,True,2025-04-01
77,M,22,Новосибирск,young,2024-09-03,True,2025-05-01
78,F,18,Санкт-Петербург,young,2024-11-04,False,2024-12-14
79,F,39,Казань,mass,2023-08-11,True,2025-01-29
80,F,43,Санкт-Петербург,inactive,2023-12-29,False,2024-12-14
81,M,60,Казань,inactive,2023-07-22,False,2024-06-24
82,M,56,Новосибирск,inactive,2021-08-10,False,2024-09-10
83,F,44,Москва,mass,2023-08-24,True,2025-02-24
84,F,46,Санкт-Петербург,salary,2021-12-26,True,2025-03-12
85,F,34,Сочи,premium,2022-07-31,True,2024-11-26
86,F,44,Новосибирск,premium,2022-09-23,True,2024-12-23
87,M,37,Казань,salary,2021-01-10,True,2025-04-26
88,M,23,Санкт-Петербург,young,2023-03-27,True,2024-11-24
89,M,58,Москва,salary,2020-07-22,True,2025-03-09
90,F,37,Санкт-Петербург,mass,2022-09-15,True,2025-02-03
91,F,61,Новосибирск,mass,2021-10-22,True,2024-11-15
92,M,25,Екатеринбург,young,2020-03-15,True,2024-12-08
93,M,37,Москва,mass,2023-11-04,True,2025-04-27
94,M,18,Москва,young,2022-01-10,True,2025-04-30
95,M,64,Москва,mass,2020-10-30,True,2025-03-05
96,F,19,Москва,young,2022-12-21,True,2025-04-20
97,F,47,Москва,inactive,2021-07-23,True,2024-07-07
98,F,46,Санкт-Петербург,premium,2022-02-24,True,2025-01-16
99,F,39,Москва,inactive,2023-02-05,False,2024-10-25
100,F,20,Москва,salary,2023-04-25,True,2024-12-05
101,F,23,Казань,mass,2022-09-13,True,2024-12-24
102,M,32,Москва,salary,2020-08-16,True,2025-03-07
103,F,44,Москва,mass,2022-12-07,True,2025-02-21
104,F,18,Москва,young,2020-09-24,True,2025-03-07
105,M,26,Москва,salary,2021-12-27,False,2025-03-09
106,F,50,Санкт-Петербург,mass,2022-03-12,True,2024-12-14
107,F,49,Москва,mass,2020-09-10,True,2025-04-29
108,M,65,Екатеринбург,mass,2022-08-14,True,2025-01-27
109,F,23,Сочи,mass,2022-05-19,True,2025-04-04
110,F,22,Екатеринбург,young,2020-03-27,True,2025-01-11
111,F,53,Санкт-Петербург,salary,2023-04-19,True,2025-01-15
112,F,19,Новосибирск,mass,2022-11-14,True,2025-01-02
113,M,30,Екатеринбург,premium,2023-11-12,True,2024-12-20
114,M,57,Москва,premium,2020-08-09,True,2024-12-29
115,M,18,Санкт-Петербург,mass,2022-09-16,True,2025-02-01
116,M,19,Новосибирск,young,2021-01-31,True,2025-04-16
117,M,43,Санкт-Петербург,mass,2022-07-26,True,2025-04-01
118,F,42,Москва,mass,2021-05-25,True,2025-04-04
119,M,27,Екатеринбург,salary,2021-07-14,True,2024-12-18
120,F,32,Новосибирск,mass,2022-04-25,True,2024-12-16
121,M,21,Москва,young,2021-03-15,True,2025-03-24
122,M,65,Санкт-Петербург,salary,2023-04-13,True,2024-11-12
123,F,38,Москва,mass,2020-11-06,True,2025-04-05
124,F,18,Екатеринбург,young,2023-07-21,True,2025-02-15
125,F,53,Москва,mass,2020-02-04,True,2025-01-05
126,F,51,Москва,salary,2020-08-04,True,2025-02-02
127,M,56,Новосибирск,premium,2021-12-21,True,2025-01-15
128,M,42,Санкт-Петербург,salary,2024-08-22,True,2024-12-31
129,F,24,Екатеринбург,young,2022-10-12,False,2024-12-27
130,F,45,Санкт-Петербург,salary,2023-12-02,True,2025-01-24
131,F,25,Москва,young,2021-06-02,True,2025-03-30
132,F,62,Казань,mass,2020-09-25,True,2025-01-31
133,F,22,Москва,young,2021-09-29,True,2025-01-02
134,F,24,Санкт-Петербург,salary,2021-04-19,True,2025-04-30
135,M,41,Москва,premium,2023-09-10,True,2024-12-11
136,F,53,Екатеринбург,mass,2023-10-11,True,2025-04-19
137,F,36,Сочи,mass,2020-03-30,True,2025-04-08
138,M,18,Сочи,mass,2022-12-01,True,2025-02-22
139,F,19,Санкт-Петербург,young,2023-10-20,True,2025-03-29
140,M,53,Москва,inactive,2024-08-21,False,2024-07-28
141,M,26,Санкт-Петербург,salary,2023-05-10,True,2025-04-13
142,F,62,Новосибирск,salary,2023-10-21,False,2025-04-02
143,F,25,Москва,young,2024-12-22,True,2025-03-14
144,F,59,Сочи,salary,2022-09-08,True,2024-11-12
145,F,49,Санкт-Петербург,inactive,2020-10-14,True,2024-10-10
146,F,55,Сочи,premium,2024-06-14,True,2024-11-03
147,M,57,Новосибирск,premium,2021-04-25,True,2025-01-08
148,F,65,Новосибирск,salary,2021-09-28,True,2025-01-06
149,F,55,Москва,salary,2021-05-15,True,2024-11-06
150,F,53,Москва,premium,2024-07-19,True,2024-12-14
151,M,27,Санкт-Петербург,inactive,2020-02-21,False,2024-08-10
152,F,44,Москва,inactive,2020-04-12,True,2024-11-30
153,F,52,Москва,salary,2023-10-16,True,2025-03-28
154,F,38,Санкт-Петербург,salary,2023-12-18,True,2025-02-20
155,M,42,Санкт-Петербург,salary,2021-11-29,True,2024-11-26
156,F,18,Казань,young,2023-05-13,True,2025-01-14
157,M,64,Казань,mass,2022-11-03,True,2025-03-09
158,M,32,Москва,salary,2024-06-27,True,2025-04-09
159,F,21,Сочи,salary,2024-07-10,True,2024-12-01
160,M,46,Москва,mass,2021-04-14,True,2025-04-22
161,F,26,Санкт-Петербург,inactive,2024-01-29,False,2024-06-21
162,M,44,Санкт-Петербург,mass,2023-08-20,True,2024-12-17
163,M,43,Новосибирск,salary,2024-06-16,True,2025-03-15
164,F,36,Москва,mass,2021-03-02,True,2025-01-10
165,F,45,Санкт-Петербург,mass,2024-08-06,True,2024-12-27
166,M,34,Казань,salary,2020-04-19,True,2024-11-26
167,F,60,Москва,salary,2024-08-25,True,2025-02-04
168,F,34,Казань,premium,2024-05-07,True,2025-04-06
169,F,59,Сочи,salary,2021-05-29,True,2024-11-18
170,M,37,Сочи,salary,2020-03-08,True,2025-03-11
171,M,62,Москва,mass,2023-06-23,True,2024-11-17
172,F,24,Москва,young,2021-01-23,True,2025-04-26
173,F,56,Москва,mass,2024-07-31,True,2025-04-24
174,F,58,Санкт-Петербург,premium,2020-11-03,True,2025-04-15
175,M,64,Москва,mass,2023-10-07,True,2025-02-15
176,F,32,Москва,premium,2024-12-27,True,2025-03-29
177,M,64,Сочи,salary,2022-12-25,True,2024-12-06
178,F,50,Сочи,inactive,2021-04-04,False,2024-08-24
179,M,63,Москва,salary,2020-12-12,True,2025-02-09
180,F,22,Санкт-Петербург,mass,2020-11-20,True,2025-01-04
181,F,18,Санкт-Петербург,young,2021-10-28,True,2024-11-18
182,F,65,Москва,mass,2024-06-10,True,2025-03-25
183,M,51,Казань,inactive,2022-11-22,False,2024-12-27
184,M,57,Казань,mass,2020-03-08,True,2025-01-20
185,F,23,Новосибирск,young,2020-07-05,True,2025-03-23
186,M,23,Екатеринбург,young,2020-07-10,True,2024-12-16
187,M,50,Казань,inactive,2023-05-21,False,2024-09-13
188,M,28,Казань,inactive,2024-06-11,False,2024-07-20
189,F,22,Москва,young,2021-03-03,False,2025-02-25
190,F,19,Казань,young,2023-10-06,True,2025-02-11
191,F,47,Санкт-Петербург,mass,2023-02-05,True,2025-03-11
192,M,65,Москва,salary,2023-06-17,False,2024-12-24
193,M,41,Москва,premium,2020-08-03,True,2024-11-25
194,M,35,Москва,inactive,2020-06-25,False,2024-09-03
195,F,19,Сочи,young,2024-05-07,True,2025-01-10
196,F,36,Москва,inactive,2023-09-15,False,2024-05-08
197,M,26,Москва,young,2021-07-14,True,2024-11-16
198,M,30,Санкт-Петербург,salary,2022-05-30,True,2025-04-16
199,M,63,Екатеринбург,salary,2021-09-17,True,2024-12-08
200,M,20,Москва,mass,2024-01-13,True,2025-01-10
201,M,27,Сочи,salary,2021-08-29,True,2025-01-10
202,F,55,Новосибирск,mass,2024-01-10,True,2025-01-20
203,F,18,Казань,inactive,2024-04-09,False,2024-12-23
204,M,22,Екатеринбург,young,2024-07-25,True,2024-12-03
205,M,63,Москва,mass,2020-06-27,True,2025-01-23
206,F,25,Санкт-Петербург,salary,2021-01-29,True,2024-11-24
207,F,63,Новосибирск,mass,2023-03-14,True,2025-03-23
208,M,59,Москва,mass,2022-05-25,True,2024-11-28
209,F,34,Москва,mass,2022-08-19,True,2025-03-27
210,F,26,Казань,salary,2020-07-16,True,2024-12-28
211,F,23,Москва,mass,2022-08-26,True,2025-04-28
212,M,60,Сочи,mass,2023-01-12,True,2025-01-04
213,M,42,Москва,inactive,2021-10-30,False,2024-06-08
214,F,56,Новосибирск,salary,2023-01-13,True,2025-01-27
215,M,45,Санкт-Петербург,salary,2021-04-01,True,2025-02-13
216,F,50,Екатеринбург,salary,2024-02-08,True,2024-11-25
217,F,54,Москва,mass,2023-06-30,True,2024-11-08
218,M,54,Санкт-Петербург,premium,2020-03-12,False,2025-04-20
219,M,22,Новосибирск,young,2020-08-10,True,2025-04-05
220,M,38,Санкт-Петербург,mass,2020-10-02,True,2024-11-10
221,M,51,Санкт-Петербург,premium,2024-12-23,True,2025-02-28
222,M,60,Санкт-Петербург,mass,2024-12-04,False,2025-03-08
223,F,56,Екатеринбург,premium,2023-06-23,True,2024-11-25
224,F,57,Санкт-Петербург,salary,2023-09-26,True,2025-02-09
225,F,53,Сочи,mass,2021-07-26,True,2025-04-18
226,F,24,Москва,young,2022-07-12,True,2025-03-07
227,M,23,Санкт-Петербург,young,2021-04-15,True,2024-12-06
228,F,19,Екатеринбург,young,2021-03-29,True,2025-02-05
229,M,45,Екатеринбург,salary,2024-11-29,True,2025-04-06
230,M,35,Новосибирск,salary,2022-08-26,True,2025-01-30
231,M,51,Сочи,inactive,2020-01-07,True,2024-06-24
232,F,39,Санкт-Петербург,salary,2020-07-06,True,2025-03-27
233,M,28,Москва,salary,2020-01-04,True,2024-12-07
234,F,30,Москва,salary,2024-11-01,True,2025-02-13
235,F,21,Екатеринбург,mass,2024-07-26,True,2025-01-10
236,M,39,Новосибирск,salary,2022-06-25,True,2025-04-09
237,F,24,Москва,mass,2023-02-22,False,2025-01-03
238,F,60,Москва,mass,2022-11-04,True,2025-01-06
239,M,41,Москва,inactive,2022-08-17,False,2024-06-21
240,F,21,Новосибирск,salary,2021-06-08,True,2025-04-10
241,M,45,Москва,mass,2021-09-21,True,2025-04-04
242,M,32,Санкт-Петербург,mass,2023-06-17,True,2025-03-20
243,M,49,Санкт-Петербург,premium,2022-02-13,False,2025-02-15
244,F,20,Новосибирск,mass,2020-12-25,True,2025-04-14
245,F,18,Казань,young,2021-06-01,True,2025-01-22
246,M,55,Казань,salary,2023-09-05,True,2024-12-29
247,F,22,Москва,young,2023-06-08,False,2025-01-13
248,M,55,Санкт-Петербург,mass,2022-11-19,True,2025-03-27
249,M,55,Екатеринбург,salary,2024-04-06,True,2024-12-28
250,M,21,Сочи,young,2022-07-09,True,2025-04-25
251,F,35,Москва,premium,2023-03-25,True,2025-04-09
252,F,46,Москва,salary,2024-07-11,True,2024-11-21
253,M,22,Москва,salary,2022-05-01,True,2025-01-05
254,F,27,Санкт-Петербург,salary,2022-07-23,True,2025-01-08
255,F,42,Новосибирск,premium,2022-06-19,True,2025-01-26
256,M,38,Москва,salary,2024-09-24,True,2025-04-11
257,M,24,Санкт-Петербург,salary,2021-02-02,True,2025-02-21
258,M,20,Санкт-Петербург,salary,2023-10-01,True,2024-11-08
259,M,20,Москва,young,2023-05-03,True,2025-03-10
260,F,19,Санкт-Петербург,young,2020-06-16,True,2025-02-07
261,M,19,Москва,young,2021-01-11,True,2025-01-16
262,M,36,Санкт-Петербург,salary,2024-02-21,True,2025-03-22
263,F,52,Екатеринбург,inactive,2024-11-09,False,2024-08-31
264,F,32,Санкт-Петербург,premium,2023-10-17,True,2024-12-25
265,M,21,Москва,young,2024-02-14,True,2024-12-11
266,M,18,Сочи,mass,2023-06-21,False,2025-02-03
267,M,21,Казань,mass,2024-05-23,True,2025-01-19
268,M,19,Екатеринбург,young,2021-08-29,True,2025-01-15
269,F,44,Москва,salary,2022-10-07,True,2025-04-15
270,F,59,Москва,mass,2021-08-11,True,2025-04-07
271,M,21,Москва,young,2023-04-09,False,2025-02-27
272,M,20,Москва,young,2024-03-16,True,2025-02-05
273,M,38,Санкт-Петербург,inactive,2023-11-30,False,2024-12-24
274,M,31,Сочи,premium,2024-05-16,False,2024-11-07
275,F,42,Санкт-Петербург,salary,2023-05-15,True,2025-03-28
276,F,62,Москва,salary,2023-03-23,True,2025-03-26
277,M,63,Казань,mass,2024-12-14,True,2025-03-08
278,M,49,Москва,mass,2020-02-17,True,2024-12-08
279,M,49,Казань,salary,2024-07-30,True,2024-11-27
280,M,22,Казань,salary,2022-10-21,True,2024-12-24
281,M,53,Новосибирск,mass,2024-11-05,True,2025-03-10
282,F,26,Сочи,young,2024-11-26,False,2025-02-18
283,F,59,Москва,inactive,2023-12-01,True,2024-06-29
284,F,24,Санкт-Петербург,young,2023-02-04,True,2025-04-19
285,M,20,Сочи,young,2020-06-21,True,2025-03-16
286,F,38,Новосибирск,premium,2021-05-20,False,2024-11-23
287,F,50,Санкт-Петербург,inactive,2023-02-27,True,2024-06-02
288,F,45,Сочи,premium,2021-02-01,False,2025-03-10
289,F,25,Москва,young,2020-10-20,True,2025-04-01
290,M,23,Сочи,inactive,2021-07-05,False,2024-10-15
291,F,62,Москва,inactive,2024-01-10,True,2024-12-02
292,F,52,Казань,mass,2022-04-29,True,2024-12-29
293,M,56,Новосибирск,salary,2022-11-05,True,2025-01-24
294,F,39,Москва,salary,2024-07-20,True,2025-02-04
295,F,58,Санкт-Петербург,salary,2022-06-03,True,2025-02-17
296,F,22,Санкт-Петербург,salary,2023-10-04,True,2025-01-21
297,M,59,Сочи,salary,2022-09-30,True,2025-04-07
298,F,40,Новосибирск,mass,2023-05-11,True,2025-01-07
299,M,34,Екатеринбург,mass,2020-05-13,True,2025-03-30
300,F,26,Казань,young,2022-02-09,True,2024-12-18
301,F,40,Новосибирск,salary,2024-03-29,True,2025-01-25
302,F,57,Санкт-Петербург,premium,2021-05-22,False,2025-01-10
303,F,24,Санкт-Петербург,young,2022-12-25,True,2024-11-09
304,M,47,Екатеринбург,mass,2021-04-24,True,2025-01-26
305,M,39,Санкт-Петербург,inactive,2022-05-12,True,2024-07-18
306,M,26,Москва,salary,2021-04-03,True,2025-01-01
307,F,46,Москва,salary,2023-09-27,True,2025-01-12
308,F,64,Москва,mass,2024-09-26,True,2025-04-15
309,M,54,Новосибирск,salary,2021-09-17,True,2025-02-15
310,F,40,Санкт-Петербург,mass,2020-06-07,True,2025-03-11
311,F,30,Екатеринбург,mass,2020-06-09,True,2024-12-13
312,F,49,Санкт-Петербург,mass,2023-07-01,True,2025-03-01
313,F,63,Москва,salary,2022-07-28,False,2024-11-20
314,M,64,Санкт-Петербург,mass,2024-03-30,True,2025-04-11
315,M,42,Новосибирск,premium,2024-04-21,False,2025-02-06
316,M,40,Казань,mass,2020-06-03,True,2025-04-11
317,F,62,Сочи,salary,2021-04-30,True,2024-12-10
318,F,34,Екатеринбург,salary,2021-03-07,True,2024-12-02
319,F,57,Казань,salary,2022-11-16,True,2024-12-25
320,F,38,Казань,salary,2022-09-30,True,2024-11-24
321,F,23,Сочи,young,2022-11-01,True,2025-03-09
322,M,54,Новосибирск,salary,2020-03-07,True,2025-04-06
323,M,21,Москва,young,2021-06-25,True,2025-03-10
324,F,22,Санкт-Петербург,young,2020-04-05,True,2025-02-25
325,M,35,Екатеринбург,salary,2020-08-02,True,2024-11-16
326,M,47,Екатеринбург,mass,2020-07-12,True,2025-04-25
327,M,39,Москва,inactive,2024-07-28,False,2024-08-13
328,M,25,Новосибирск,young,2023-08-06,True,2025-03-31
329,F,47,Сочи,mass,2024-04-16,True,2024-11-29
330,F,20,Москва,young,2022-06-03,True,2025-02-04
331,F,19,Новосибирск,young,2020-02-08,True,2024-11-26
332,M,49,Москва,mass,2022-07-27,True,2024-11-30
333,F,20,Москва,young,2022-07-27,True,2024-11-24
334,F,31,Москва,mass,2020-07-24,True,2025-04-30
335,F,27,Москва,mass,2022-07-30,True,2024-11-08
336,F,64,Новосибирск,inactive,2021-07-08,False,2024-12-21
337,M,24,Москва,young,2021-04-28,True,2025-04-03
338,M,51,Москва,mass,2023-09-22,True,2024-12-26
339,F,26,Москва,salary,2024-02-28,True,2025-03-14
340,F,33,Москва,premium,2022-02-09,True,2025-03-31
341,F,25,Москва,young,2020-09-05,True,2024-11-25
342,F,43,Екатеринбург,premium,2023-01-02,True,2025-04-17
343,F,31,Москва,inactive,2021-01-07,False,2024-07-27
344,F,18,Новосибирск,young,2022-05-28,True,2025-02-13
345,F,64,Новосибирск,mass,2024-12-14,True,2025-04-15
346,M,36,Москва,salary,2022-04-14,True,2025-04-10
347,M,32,Новосибирск,mass,2022-05-20,True,2024-11-25
348,F,36,Москва,premium,2021-12-02,True,2025-02-10
349,F,54,Москва,premium,2020-05-17,True,2024-12-09
350,M,25,Москва,mass,2022-08-05,True,2024-11-03
351,F,60,Санкт-Петербург,mass,2021-04-01,True,2025-04-24
352,M,26,Санкт-Петербург,mass,2022-03-24,True,2024-11-16
353,M,64,Новосибирск,mass,2022-04-02,False,2025-04-01
354,F,50,Санкт-Петербург,mass,2022-07-30,True,2025-04-20
355,F,50,Екатеринбург,salary,2021-03-19,True,2025-03-30
356,M,36,Москва,mass,2020-12-18,False,2025-04-20
357,F,20,Екатеринбург,mass,2022-09-22,True,2025-04-07
358,M,27,Москва,mass,2022-03-04,False,2024-11-17
359,M,57,Москва,salary,2021-02-14,True,2025-03-15
360,M,24,Москва,young,2021-11-08,False,2025-02-08
361,F,59,Москва,mass,2024-12-18,False,2025-03-08
362,M,40,Санкт-Петербург,premium,2024-04-10,True,2024-12-22
363,F,26,Новосибирск,young,2021-03-28,True,2024-12-28
364,F,51,Москва,mass,2021-02-22,True,2025-02-22
365,M,30,Екатеринбург,mass,2021-03-25,True,2024-11-20
366,F,18,Казань,inactive,2022-09-21,False,2024-05-17
367,M,20,Новосибирск,young,2024-05-27,True,2025-04-05
368,M,46,Москва,inactive,2023-02-12,False,2024-09-02
369,F,20,Санкт-Петербург,young,2020-02-20,True,2024-12-09
370,F,64,Сочи,salary,2023-10-24,True,2025-04-07
371,F,30,Казань,salary,2024-09-02,True,2025-03-30
372,F,65,Санкт-Петербург,mass,2024-12-08,True,2025-03-01
373,F,46,Москва,mass,2024-03-18,True,2024-12-08
374,M,56,Москва,mass,2020-07-28,True,2024-11-12
375,F,25,Казань,young,2022-06-06,True,2025-04-02
376,F,43,Екатеринбург,mass,2022-09-24,True,2025-03-22
377,M,34,Москва,mass,2022-09-19,True,2025-01-05
378,F,21,Казань,young,2022-04-29,True,2025-04-28
379,M,25,Казань,young,2021-09-18,True,2025-02-25
380,F,22,Санкт-Петербург,mass,2021-11-09,True,2025-03-03
381,F,22,Екатеринбург,young,2023-12-29,True,2024-12-16
382,M,20,Новосибирск,young,2022-02-15,True,2025-04-01
383,M,24,Санкт-Петербург,mass,2023-06-04,True,2025-02-02
384,M,56,Новосибирск,salary,2021-10-24,True,2025-01-22
385,M,18,Москва,salary,2020-09-24,True,2025-01-03
386,M,34,Москва,mass,2020-04-25,True,2025-02-22
387,F,60,Москва,mass,2024-06-11,True,2024-12-01
388,F,42,Москва,inactive,2022-01-23,False,2024-09-23
389,M,21,Москва,young,2023-10-15,True,2024-11-10
390,M,21,Москва,young,2023-09-14,True,2024-11-18
391,M,46,Новосибирск,inactive,2022-11-29,False,2024-10-10
392,F,25,Москва,young,2020-06-30,True,2024-11-20
393,F,49,Екатеринбург,mass,2024-02-22,True,2025-02-28
394,M,43,Москва,salary,2023-05-17,True,2025-01-04
395,F,23,Сочи,young,2022-06-21,True,2025-01-08
396,M,42,Екатеринбург,mass,2023-07-20,True,2025-04-26
397,M,45,Москва,mass,2023-02-16,True,2025-04-26
398,F,54,Екатеринбург,premium,2023-11-06,True,2025-04-02
399,M,18,Санкт-Петербург,inactive,2022-08-03,False,2024-06-24
400,M,46,Екатеринбург,mass,2024-04-08,True,2025-02-28
401,F,24,Санкт-Петербург,young,2020-09-14,True,2024-12-17
402,M,33,Казань,mass,2024-02-15,True,2025-04-04
403,F,36,Новосибирск,premium,2021-05-23,True,2025-02-02
404,M,61,Санкт-Петербург,salary,2020-04-01,False,2024-11-22
405,F,26,Москва,young,2023-03-30,True,2025-03-10
406,M,24,Новосибирск,salary,2020-05-28,True,2025-03-25
407,F,23,Санкт-Петербург,young,2020-04-26,True,2025-03-11
408,F,46,Санкт-Петербург,salary,2021-04-02,True,2025-02-13
409,M,36,Москва,mass,2021-07-18,True,2024-12-14
410,F,36,Санкт-Петербург,mass,2022-03-24,True,2024-12-23
411,F,19,Сочи,mass,2020-02-14,True,2025-03-10
412,M,58,Москва,salary,2024-12-05,True,2025-01-28
413,M,62,Санкт-Петербург,mass,2022-02-12,True,2025-01-28
414,M,20,Екатеринбург,young,2020-08-21,True,2025-04-25
415,M,32,Новосибирск,premium,2023-10-30,True,2025-02-24
416,F,28,Санкт-Петербург,salary,2024-04-19,False,2024-12-16
417,F,20,Москва,young,2020-07-15,False,2025-01-06
418,F,47,Сочи,salary,2020-01-25,True,2024-12-14
419,M,57,Екатеринбург,mass,2021-01-29,True,2025-03-26
420,M,35,Москва,mass,2021-12-14,False,2024-12-11
421,M,65,Москва,mass,2024-12-13,True,2024-12-06
422,M,19,Санкт-Петербург,mass,2022-11-25,True,2025-04-24
423,F,49,Москва,inactive,2024-02-06,False,2024-12-09
424,F,25,Москва,mass,2020-08-10,True,2025-03-04
425,F,39,Новосибирск,salary,2022-05-13,True,2024-12-30
426,F,23,Москва,mass,2024-12-17,True,2025-04-25
427,F,20,Екатеринбург,young,2021-06-13,True,2025-01-02
428,M,49,Москва,premium,2023-04-26,True,2025-04-29
429,F,19,Екатеринбург,young,2023-11-26,True,2025-02-24
430,F,53,Екатеринбург,inactive,2020-09-13,False,2024-12-21
431,F,32,Москва,inactive,2021-10-15,False,2024-10-31
432,M,18,Санкт-Петербург,young,2023-03-05,True,2025-01-25
433,M,62,Москва,salary,2021-08-13,True,2025-01-30
434,F,18,Новосибирск,young,2021-03-19,True,2024-11-19
435,F,19,Новосибирск,salary,2021-02-21,True,2024-12-09
436,M,21,Санкт-Петербург,young,2023-08-08,True,2025-02-12
437,F,58,Санкт-Петербург,premium,2021-07-27,False,2024-11-26
438,M,20,Москва,young,2020-05-08,False,2025-03-04
439,M,37,Екатеринбург,mass,2022-10-07,False,2024-12-07
440,F,30,Санкт-Петербург,premium,2020-12-06,True,2024-11-06
441,F,59,Москва,inactive,2022-03-20,False,2024-05-17
442,M,46,Санкт-Петербург,salary,2023-07-04,True,2025-02-08
443,F,20,Москва,mass,2022-09-18,True,2024-11-26
444,F,57,Екатеринбург,premium,2024-10-13,True,2025-01-13
445,M,20,Москва,inactive,2024-05-08,True,2024-07-24
446,M,31,Казань,salary,2024-09-06,True,2025-03-08
447,M,57,Москва,salary,2020-04-09,True,2024-11-28
